var_yr,var_scope,var_grade,var_key,var_schoolType,var_ethnic,population,var_type,metrics_new,estimated,notes
2017,city_chi,hs,math_advc_enroll,cps,all,31802,count,2017___city_chi___hs___math_advc___cps,,
2017,city_chi,hs,math_advc_enroll,cps,black_hispanic,26227,count,2017___city_chi___hs___math_advc___cps,,
2017,city_chi,hs,math_advc_enroll,cps,white_asian,5575,count,2017___city_chi___hs___math_advc___cps,,
2017,city_chi,hs,math_advc_enroll,cps,black,10952,count,2017___city_chi___hs___math_advc___cps,,
2017,city_chi,hs,math_advc_enroll,cps,hispanic,15275,count,2017___city_chi___hs___math_advc___cps,,
2017,city_chi,hs,math_advc_enroll,cps,white,3728,count,2017___city_chi___hs___math_advc___cps,,
2017,city_chi,hs,math_advc_enroll,cps,asian,1847,count,2017___city_chi___hs___math_advc___cps,,
2017,city_chi,hs_total,popul,cps,all,112989,count,2017___city_chi___hs_total___popul___cps,,
2017,city_chi,hs_total,popul,cps,black,45062,count,2017___city_chi___hs_total___popul___cps,,
2017,city_chi,hs_total,popul,cps,hispanic,53320,count,2017___city_chi___hs_total___popul___cps,,
2017,city_chi,hs_total,popul,cps,white,10045,count,2017___city_chi___hs_total___popul___cps,,
2017,city_chi,hs_total,popul,cps,asian,4562,count,2017___city_chi___hs_total___popul___cps,,
2017,city_chi,k8_8th,math_algebra_enrol,cps,all,5749,count,2017___city_chi___k8_8th___math_algebra_enrol___cps,,
2017,city_chi,k8_8th,math_algebra_enrol,cps,black_hispanic,3916,count,2017___city_chi___k8_8th___math_algebra_enrol___cps,,
2017,city_chi,k8_8th,math_algebra_enrol,cps,white_asian,1833,count,2017___city_chi___k8_8th___math_algebra_enrol___cps,,
2017,city_chi,k8_8th,math_algebra_enrol,cps,black,1138,count,2017___city_chi___k8_8th___math_algebra_enrol___cps,,
2017,city_chi,k8_8th,math_algebra_enrol,cps,hispanic,2778,count,2017___city_chi___k8_8th___math_algebra_enrol___cps,,
2017,city_chi,k8_8th,math_algebra_enrol,cps,white,1286,count,2017___city_chi___k8_8th___math_algebra_enrol___cps,,
2017,city_chi,k8_8th,math_algebra_enrol,cps,asian,547,count,2017___city_chi___k8_8th___math_algebra_enrol___cps,,
2017,city_chi,k8_8th,math_algebra_fail,cps,all,88,count,2017___city_chi___k8_8th___math_algebra_fail___cps,,
2017,city_chi,k8_8th,math_algebra_fail,cps,black_hispanic,84,count,2017___city_chi___k8_8th___math_algebra_fail___cps,,
2017,city_chi,k8_8th,math_algebra_fail,cps,white_asian,4,count,2017___city_chi___k8_8th___math_algebra_fail___cps,,
2017,city_chi,k8_8th,math_algebra_fail,cps,black,55,count,2017___city_chi___k8_8th___math_algebra_fail___cps,,
2017,city_chi,k8_8th,math_algebra_fail,cps,hispanic,29,count,2017___city_chi___k8_8th___math_algebra_fail___cps,,
2017,city_chi,k8_8th,math_algebra_fail,cps,white,4,count,2017___city_chi___k8_8th___math_algebra_fail___cps,,
2017,city_chi,k8_8th,math_algebra_fail,cps,asian,0,count,2017___city_chi___k8_8th___math_algebra_fail___cps,,
2017,usa,hs,math_advc_enroll,NA,black,310756,count,2017___usa___hs___math_advc_enroll,,
2017,usa,hs,math_advc_enroll,NA,hispanic,501960,count,2017___usa___hs___math_advc_enroll,,
2017,usa,hs,math_advc_enroll,NA,white,1234815,count,2017___usa___hs___math_advc_enroll,,
2017,usa,hs,math_advc_enroll,NA,asian,195852,count,2017___usa___hs___math_advc_enroll,,
2017,usa,k8_8th,math_algebra_enrol,NA,black,92736,count,2017___usa___k8_8th___math_algebra_enrol,,
2017,usa,k8_8th,math_algebra_enrol,NA,hispanic,208620,count,2017___usa___k8_8th___math_algebra_enrol,,
2017,usa,k8_8th,math_algebra_enrol,NA,white,533249,count,2017___usa___k8_8th___math_algebra_enrol,,
2017,usa,k8_8th,math_algebra_enrol,NA,asian,79880,count,2017___usa___k8_8th___math_algebra_enrol,,
2019,city_chi,age_5to17,noInternet,cps,black,187129,count,2019___city_chi___k8_total___NOinternet_age5to17___cps,,
2019,city_chi,age_5to17,noInternet,cps,hispanic,144501,count,2019___city_chi___k8_total___NOinternet_age5to17___cps,,
2019,city_chi,age_5to17,noInternet,cps,white,106110,count,2019___city_chi___k8_total___NOinternet_age5to17___cps,,
2019,city_chi,age_5to17,noInternet,cps,asian,23140,count,2019___city_chi___k8_total___NOinternet_age5to17___cps,,
2019,usa,age_5to17,noInternet,NA,all,2288743,count,2019___usa___k8_total___NOinternet_age5to17,,
2019,usa,age_5to17,noInternet,NA,black_hispanic,1423107,count,2019___usa___k8_total___NOinternet_age5to17,,
2019,usa,age_5to17,noInternet,NA,white_asian,865636,count,2019___usa___k8_total___NOinternet_age5to17,,
2019,usa,age_5to17,noInternet,NA,black,517275,count,2019___usa___k8_total___NOinternet_age5to17,,
2019,usa,age_5to17,noInternet,NA,hispanic,905832,count,2019___usa___k8_total___NOinternet_age5to17,,
2019,usa,age_5to17,noInternet,NA,white,830272,count,2019___usa___k8_total___NOinternet_age5to17,,
2019,usa,age_5to17,noInternet,NA,asian,35364,count,2019___usa___k8_total___NOinternet_age5to17,,
2020,city_chi,city_total,popul,NA,all,2662000,count,2020___city_chi___city_total___popul,,
2020,city_chi,city_total,popul,NA,black,840000,count,2020___city_chi___city_total___popul,,
2020,city_chi,city_total,popul,NA,hispanic,779000,count,2020___city_chi___city_total___popul,,
2020,city_chi,city_total,popul,NA,white,878000,count,2020___city_chi___city_total___popul,,
2020,city_chi,city_total,popul,NA,asian,165000,count,2020___city_chi___city_total___popul,,
2020,state_il,col,total_confer,NA,black,6102,count,2020___state_il___col___total_confer,,
2020,state_il,col,total_confer,NA,hispanic,11594,count,2020___state_il___col___total_confer,,
2020,state_il,col,total_confer,NA,white,37224,count,2020___state_il___col___total_confer,,
2020,state_il,col,total_confer,NA,asian,6713,count,2020___state_il___col___total_confer,,
2020,state_il,col_conferred,popul,NA,all,61023,count,2020___state_il___col_conferred___popul,,
2020,state_il,hs_grads,popul,NA,all,133178,count,2020___state_il___hs_grads___popul,,
2020,state_il,hs_grads,popul,NA,black,20880,count,2020___state_il___hs_grads___popul,,
2020,state_il,hs_grads,popul,NA,hispanic,34946,count,2020___state_il___hs_grads___popul,,
2020,state_il,hs_grads,popul,NA,white,69614,count,2020___state_il___hs_grads___popul,,
2020,state_il,hs_grads,popul,NA,asian,7738,count,2020___state_il___hs_grads___popul,,
2020,usa,hs_total,popul,NA,all,14534000,count,2020___usa___hs_total___popul,,
2020,usa,hs_total,popul,NA,black,2241000,count,2020___usa___hs_total___popul,,
2020,usa,hs_total,popul,NA,hispanic,4223000,count,2020___usa___hs_total___popul,,
2020,usa,hs_total,popul,NA,white,7230000,count,2020___usa___hs_total___popul,,
2020,usa,hs_total,popul,NA,asian,840000,count,2020___usa___hs_total___popul,,
2020,usa,k8_4th,popul,NA,all,3385000,count,2020___usa___k8_4th___popul,,
2020,usa,k8_4th,popul,NA,black,550000,count,2020___usa___k8_4th___popul,,
2020,usa,k8_4th,popul,NA,hispanic,1020000,count,2020___usa___k8_4th___popul,,
2020,usa,k8_4th,popul,NA,white,1619000,count,2020___usa___k8_4th___popul,,
2020,usa,k8_4th,popul,NA,asian,196000,count,2020___usa___k8_4th___popul,,
2020,usa,k8_8th,popul,NA,all,3674000,count,2020___usa___k8_8th___popul,,
2020,usa,k8_8th,popul,NA,black,587000,count,2020___usa___k8_8th___popul,,
2020,usa,k8_8th,popul,NA,hispanic,1095000,count,2020___usa___k8_8th___popul,,
2020,usa,k8_8th,popul,NA,white,1789000,count,2020___usa___k8_8th___popul,,
2020,usa,k8_8th,popul,NA,asian,203000,count,2020___usa___k8_8th___popul,,
2020,usa,national_total,popul,NA,all,319440000,count,2020___usa___national_total___popul,,
2020,usa,national_total,popul,NA,black,41580000,count,2020___usa___national_total___popul,,
2020,usa,national_total,popul,NA,hispanic,61380000,count,2020___usa___national_total___popul,,
2020,usa,national_total,popul,NA,white,197010000,count,2020___usa___national_total___popul,,
2020,usa,national_total,popul,NA,asian,19470000,count,2020___usa___national_total___popul,,
2021,city_chi,hs,apcs_score3/4,NA,black,71,count,2021___city_chi___hs___apcs_score3/4,,
2021,city_chi,hs,apcs_score3/4,NA,hispanic,324,count,2021___city_chi___hs___apcs_score3/4,,
2021,city_chi,hs,apcs_score3/4,NA,white,434,count,2021___city_chi___hs___apcs_score3/4,,
2021,city_chi,hs,apcs_score3/4,NA,asian,209,count,2021___city_chi___hs___apcs_score3/4,,
2021,city_chi,hs,apcs_score5,cps,black,5,count,2021___city_chi___hs___apcs_score5___cps,,
2021,city_chi,hs,apcs_score5,cps,hispanic,29,count,2021___city_chi___hs___apcs_score5___cps,,
2021,city_chi,hs,apcs_score5,cps,white,131,count,2021___city_chi___hs___apcs_score5___cps,,
2021,city_chi,hs,apcs_score5,cps,asian,61,count,2021___city_chi___hs___apcs_score5___cps,,
2021,city_chi,hs,cs_interested,cps,all,9792,count,2021___city_chi___hs___cs_interested___cps,,
2021,city_chi,hs,cs_interested,cps,black_hispanic,6806,count,2021___city_chi___hs___cs_interested___cps,,
2021,city_chi,hs,cs_interested,cps,white_asian,2986,count,2021___city_chi___hs___cs_interested___cps,,
2021,city_chi,hs,cs_interested,cps,black,2054,count,2021___city_chi___hs___cs_interested___cps,,
2021,city_chi,hs,cs_interested,cps,hispanic,4752,count,2021___city_chi___hs___cs_interested___cps,,
2021,city_chi,hs,cs_interested,cps,white,1905,count,2021___city_chi___hs___cs_interested___cps,,
2021,city_chi,hs,cs_interested,cps,asian,1081,count,2021___city_chi___hs___cs_interested___cps,,
2021,city_chi,hs,dualCredit,cps,all,297,count,2021___city_chi___hs___dualCredit___cps,,
2021,city_chi,hs,dualCredit,cps,black_hispanic,273,count,2021___city_chi___hs___dualCredit___cps,,
2021,city_chi,hs,dualCredit,cps,white_asian,24,count,2021___city_chi___hs___dualCredit___cps,,
2021,city_chi,hs,dualCredit,cps,black,157,count,2021___city_chi___hs___dualCredit___cps,,
2021,city_chi,hs,dualCredit,cps,hispanic,116,count,2021___city_chi___hs___dualCredit___cps,,
2021,city_chi,hs,dualCredit,cps,white,19,count,2021___city_chi___hs___dualCredit___cps,,
2021,city_chi,hs,dualCredit,cps,asian,5,count,2021___city_chi___hs___dualCredit___cps,,
2021,city_chi,hs,mag_enrol,cps,all,15513,count,2021___city_chi___hs___mag_enrol___cps,,
2021,city_chi,hs,mag_enrol,cps,black_hispanic,13352,count,2021___city_chi___hs___mag_enrol___cps,,
2021,city_chi,hs,mag_enrol,cps,white_asian,2161,count,2021___city_chi___hs___mag_enrol___cps,,
2021,city_chi,hs,mag_enrol,cps,black,3282,count,2021___city_chi___hs___mag_enrol___cps,,
2021,city_chi,hs,mag_enrol,cps,hispanic,10070,count,2021___city_chi___hs___mag_enrol___cps,,
2021,city_chi,hs,mag_enrol,cps,white,1318,count,2021___city_chi___hs___mag_enrol___cps,,
2021,city_chi,hs,mag_enrol,cps,asian,843,count,2021___city_chi___hs___mag_enrol___cps,,
2021,city_chi,hs_SATtaker,sat_math_exceeds,cps,all,1025,count,2021___city_chi___hs___sat_math_exceeds___cps,,
2021,city_chi,hs_SATtaker,sat_math_exceeds,cps,black_hispanic,261,count,2021___city_chi___hs___sat_math_exceeds___cps,,
2021,city_chi,hs_SATtaker,sat_math_exceeds,cps,white_asian,764,count,2021___city_chi___hs___sat_math_exceeds___cps,,
2021,city_chi,hs_SATtaker,sat_math_exceeds,cps,black,55,count,2021___city_chi___hs___sat_math_exceeds___cps,,
2021,city_chi,hs_SATtaker,sat_math_exceeds,cps,hispanic,206,count,2021___city_chi___hs___sat_math_exceeds___cps,,
2021,city_chi,hs_SATtaker,sat_math_exceeds,cps,white,508,count,2021___city_chi___hs___sat_math_exceeds___cps,,
2021,city_chi,hs_SATtaker,sat_math_exceeds,cps,asian,256,count,2021___city_chi___hs___sat_math_exceeds___cps,,
2021,city_chi,hs_SATtaker,sat_math_meet&exceeds,cps,all,5081,count,2021___city_chi___hs___sat_math_meet&exceeds___cps,,
2021,city_chi,hs_SATtaker,sat_math_meet&exceeds,cps,black_hispanic,3058,count,2021___city_chi___hs___sat_math_meet&exceeds___cps,,
2021,city_chi,hs_SATtaker,sat_math_meet&exceeds,cps,white_asian,2023,count,2021___city_chi___hs___sat_math_meet&exceeds___cps,,
2021,city_chi,hs_SATtaker,sat_math_meet&exceeds,cps,black,888,count,2021___city_chi___hs___sat_math_meet&exceeds___cps,,
2021,city_chi,hs_SATtaker,sat_math_meet&exceeds,cps,hispanic,2170,count,2021___city_chi___hs___sat_math_meet&exceeds___cps,,
2021,city_chi,hs_SATtaker,sat_math_meet&exceeds,cps,white,1449,count,2021___city_chi___hs___sat_math_meet&exceeds___cps,,
2021,city_chi,hs_SATtaker,sat_math_meet&exceeds,cps,asian,574,count,2021___city_chi___hs___sat_math_meet&exceeds___cps,,
2021,city_chi,hs_apcs,popul,cps,black,412,count,2021___city_chi___hs_apcs___popul___cps,,
2021,city_chi,hs_apcs,popul,cps,hispanic,1004,count,2021___city_chi___hs_apcs___popul___cps,,
2021,city_chi,hs_apcs,popul,cps,white,627,count,2021___city_chi___hs_apcs___popul___cps,,
2021,city_chi,hs_apcs,popul,cps,asian,338,count,2021___city_chi___hs_apcs___popul___cps,,
2021,city_chi,hs_SATtaker,popul,cps,all,22636,count,2021___city_chi___hs_SATtaker___popul___cps,,
2021,city_chi,hs_SATtaker,popul,cps,black,7850,count,2021___city_chi___hs_SATtaker___popul___cps,,
2021,city_chi,hs_SATtaker,popul,cps,hispanic,11418,count,2021___city_chi___hs_SATtaker___popul___cps,,
2021,city_chi,hs_SATtaker,popul,cps,white,2278,count,2021___city_chi___hs_SATtaker___popul___cps,,
2021,city_chi,hs_SATtaker,popul,cps,asian,1090,count,2021___city_chi___hs_SATtaker___popul___cps,,
2021,city_chi,k8_4th,math_advc,cps,all,1429,count,2021___city_chi___k8_4th___math_advc___cps,,
2021,city_chi,k8_4th,math_advc,cps,black_hispanic,582,count,2021___city_chi___k8_4th___math_advc___cps,,
2021,city_chi,k8_4th,math_advc,cps,white_asian,847,count,2021___city_chi___k8_4th___math_advc___cps,,
2021,city_chi,k8_4th,math_advc,cps,black,166,count,2021___city_chi___k8_4th___math_advc___cps,,
2021,city_chi,k8_4th,math_advc,cps,hispanic,416,count,2021___city_chi___k8_4th___math_advc___cps,,
2021,city_chi,k8_4th,math_advc,cps,white,500,count,2021___city_chi___k8_4th___math_advc___cps,,
2021,city_chi,k8_4th,math_advc,cps,asian,347,count,2021___city_chi___k8_4th___math_advc___cps,,
2021,city_chi,k8_4th,math_basic,cps,all,9172,count,2021___city_chi___k8_4th___math_basic___cps,,
2021,city_chi,k8_4th,math_basic,cps,black_hispanic,8234,count,2021___city_chi___k8_4th___math_basic___cps,,
2021,city_chi,k8_4th,math_basic,cps,white_asian,938,count,2021___city_chi___k8_4th___math_basic___cps,,
2021,city_chi,k8_4th,math_basic,cps,black,3558,count,2021___city_chi___k8_4th___math_basic___cps,,
2021,city_chi,k8_4th,math_basic,cps,hispanic,4676,count,2021___city_chi___k8_4th___math_basic___cps,,
2021,city_chi,k8_4th,math_basic,cps,white,700,count,2021___city_chi___k8_4th___math_basic___cps,,
2021,city_chi,k8_4th,math_basic,cps,asian,238,count,2021___city_chi___k8_4th___math_basic___cps,,
2021,city_chi,k8_4th,math_belowBasic,cps,all,6169,count,2021___city_chi___k8_4th___math_belowBasic___cps,,
2021,city_chi,k8_4th,math_belowBasic,cps,black_hispanic,5929,count,2021___city_chi___k8_4th___math_belowBasic___cps,,
2021,city_chi,k8_4th,math_belowBasic,cps,white_asian,240,count,2021___city_chi___k8_4th___math_belowBasic___cps,,
2021,city_chi,k8_4th,math_belowBasic,cps,black,3227,count,2021___city_chi___k8_4th___math_belowBasic___cps,,
2021,city_chi,k8_4th,math_belowBasic,cps,hispanic,2702,count,2021___city_chi___k8_4th___math_belowBasic___cps,,
2021,city_chi,k8_4th,math_belowBasic,cps,white,175,count,2021___city_chi___k8_4th___math_belowBasic___cps,,
2021,city_chi,k8_4th,math_belowBasic,cps,asian,65,count,2021___city_chi___k8_4th___math_belowBasic___cps,,
2021,city_chi,k8_4th,math_prof&abov,cps,all,6910,count,2021___city_chi___k8_4th___math_prof&abov___cps,,
2021,city_chi,k8_4th,math_prof&abov,cps,black_hispanic,4504,count,2021___city_chi___k8_4th___math_prof&abov___cps,,
2021,city_chi,k8_4th,math_prof&abov,cps,white_asian,2406,count,2021___city_chi___k8_4th___math_prof&abov___cps,,
2021,city_chi,k8_4th,math_prof&abov,cps,black,1490,count,2021___city_chi___k8_4th___math_prof&abov___cps,,
2021,city_chi,k8_4th,math_prof&abov,cps,hispanic,3014,count,2021___city_chi___k8_4th___math_prof&abov___cps,,
2021,city_chi,k8_4th,math_prof&abov,cps,white,1626,count,2021___city_chi___k8_4th___math_prof&abov___cps,,
2021,city_chi,k8_4th,math_prof&abov,cps,asian,780,count,2021___city_chi___k8_4th___math_prof&abov___cps,,
2021,city_chi,k8_8th,math_advc,cps,all,1882,count,2021___city_chi___k8_8th___math_advc___cps,,
2021,city_chi,k8_8th,math_advc,cps,black_hispanic,938,count,2021___city_chi___k8_8th___math_advc___cps,,
2021,city_chi,k8_8th,math_advc,cps,white_asian,944,count,2021___city_chi___k8_8th___math_advc___cps,,
2021,city_chi,k8_8th,math_advc,cps,black,188,count,2021___city_chi___k8_8th___math_advc___cps,,
2021,city_chi,k8_8th,math_advc,cps,hispanic,750,count,2021___city_chi___k8_8th___math_advc___cps,,
2021,city_chi,k8_8th,math_advc,cps,white,565,count,2021___city_chi___k8_8th___math_advc___cps,,
2021,city_chi,k8_8th,math_advc,cps,asian,379,count,2021___city_chi___k8_8th___math_advc___cps,,
2021,city_chi,k8_8th,math_algebra_pass,cps,black,1083,count,2021___city_chi___k8_8th___math_algebra_pass___cps,,
2021,city_chi,k8_8th,math_algebra_pass,cps,hispanic,2749,count,2021___city_chi___k8_8th___math_algebra_pass___cps,,
2021,city_chi,k8_8th,math_algebra_pass,cps,white,1282,count,2021___city_chi___k8_8th___math_algebra_pass___cps,,
2021,city_chi,k8_8th,math_algebra_pass,cps,asian,547,count,2021___city_chi___k8_8th___math_algebra_pass___cps,,
2021,city_chi,k8_8th,math_basic,cps,all,9007,count,2021___city_chi___k8_8th___math_basic___cps,,
2021,city_chi,k8_8th,math_basic,cps,black_hispanic,8063,count,2021___city_chi___k8_8th___math_basic___cps,,
2021,city_chi,k8_8th,math_basic,cps,white_asian,944,count,2021___city_chi___k8_8th___math_basic___cps,,
2021,city_chi,k8_8th,math_basic,cps,black,3563,count,2021___city_chi___k8_8th___math_basic___cps,,
2021,city_chi,k8_8th,math_basic,cps,hispanic,4500,count,2021___city_chi___k8_8th___math_basic___cps,,
2021,city_chi,k8_8th,math_basic,cps,white,770,count,2021___city_chi___k8_8th___math_basic___cps,,
2021,city_chi,k8_8th,math_basic,cps,asian,174,count,2021___city_chi___k8_8th___math_basic___cps,,
2021,city_chi,k8_8th,math_belowBasic,cps,all,9514,count,2021___city_chi___k8_8th___math_belowBasic___cps,,
2021,city_chi,k8_8th,math_belowBasic,cps,black_hispanic,9032,count,2021___city_chi___k8_8th___math_belowBasic___cps,,
2021,city_chi,k8_8th,math_belowBasic,cps,white_asian,482,count,2021___city_chi___k8_8th___math_belowBasic___cps,,
2021,city_chi,k8_8th,math_belowBasic,cps,black,4407,count,2021___city_chi___k8_8th___math_belowBasic___cps,,
2021,city_chi,k8_8th,math_belowBasic,cps,hispanic,4625,count,2021___city_chi___k8_8th___math_belowBasic___cps,,
2021,city_chi,k8_8th,math_belowBasic,cps,white,359,count,2021___city_chi___k8_8th___math_belowBasic___cps,,
2021,city_chi,k8_8th,math_belowBasic,cps,asian,123,count,2021___city_chi___k8_8th___math_belowBasic___cps,,
2021,city_chi,k8_8th,math_prof&abov,cps,all,6944,count,2021___city_chi___k8_8th___math_prof&abov___cps,,
2021,city_chi,k8_8th,math_prof&abov,cps,black_hispanic,4781,count,2021___city_chi___k8_8th___math_prof&abov___cps,,
2021,city_chi,k8_8th,math_prof&abov,cps,white_asian,2163,count,2021___city_chi___k8_8th___math_prof&abov___cps,,
2021,city_chi,k8_8th,math_prof&abov,cps,black,1406,count,2021___city_chi___k8_8th___math_prof&abov___cps,,
2021,city_chi,k8_8th,math_prof&abov,cps,hispanic,3375,count,2021___city_chi___k8_8th___math_prof&abov___cps,,
2021,city_chi,k8_8th,math_prof&abov,cps,white,1437,count,2021___city_chi___k8_8th___math_prof&abov___cps,,
2021,city_chi,k8_8th,math_prof&abov,cps,asian,726,count,2021___city_chi___k8_8th___math_prof&abov___cps,,
2021,city_chi,k8_total,mag_stem_enrol,cps,all,20717,count,2021___city_chi___k8_total___mag_stem_enrol___cps,,
2021,city_chi,k8_total,mag_stem_enrol,cps,black_hispanic,17672,count,2021___city_chi___k8_total___mag_stem_enrol___cps,,
2021,city_chi,k8_total,mag_stem_enrol,cps,white_asian,2679,count,2021___city_chi___k8_total___mag_stem_enrol___cps,,
2021,city_chi,k8_total,mag_stem_enrol,cps,black,10133,count,2021___city_chi___k8_total___mag_stem_enrol___cps,,
2021,city_chi,k8_total,mag_stem_enrol,cps,hispanic,7539,count,2021___city_chi___k8_total___mag_stem_enrol___cps,,
2021,city_chi,k8_total,mag_stem_enrol,cps,white,1325,count,2021___city_chi___k8_total___mag_stem_enrol___cps,,
2021,city_chi,k8_total,mag_stem_enrol,cps,asian,1354,count,2021___city_chi___k8_total___mag_stem_enrol___cps,,
2021,college,col,t3_mellon_cs_enrol,NA,all,600,count,2021___college___col___t3_mellon_cs_enrol,,
